pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-9467-645a1356-9588-4f00-aeef-0adf33505a0f,facing-9467-645a1356-9588-4f00-aeef-0adf33505a0f,copying-9467-645a1356-9588-4f00-aeef-0adf33505a0f,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
9467-645a1356-9588-4f00-aeef-0adf33505a0f,64,visible,137.455,49.538999999999994,2.125,69,0.62,0.42,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,65,visible,139.439,48.777,2.125,69,0.61,0.42,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,66,visible,141.423,48.015,2.125,69,0.61,0.42,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,67,visible,143.43200000000002,48.707,2.125,109,0.63,0.43,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,68,visible,145.441,49.398999999999994,2.125,109,0.6799999999999999,0.43,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,69,visible,147.45,50.091,2.125,109,0.63,0.43,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,70,visible,149.459,50.783,2.125,109,0.64,0.43,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,71,visible,151.468,51.475,2.125,109,0.7,0.43,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,72,visible,153.477,52.167,2.125,109,0.69,0.43,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,73,visible,155.486,52.858999999999995,2.125,109,0.71,0.43,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,74,visible,157.495,53.551,2.125,109,0.64,0.43,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,75,visible,159.504,54.243,2.125,109,0.63,0.43,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,76,visible,161.513,54.935,2.125,109,0.64,0.43,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9467-645a1356-9588-4f00-aeef-0adf33505a0f,77,visible,168.25,57.255,7.125,109,0.6799999999999999,0.43,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
