pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,facing-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,copying-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,118,visible,57.358000000000004,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,119,visible,55.683,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,120,visible,54.008,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,121,visible,52.333,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,122,visible,50.658,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,123,visible,48.983000000000004,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,124,visible,47.308,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,125,visible,45.633,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,126,visible,43.958,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,127,visible,42.283,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,128,visible,36.668,277.5,7.125,232,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,129,visible,31.053,277.5,7.125,232,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,130,visible,25.438000000000002,277.5,7.125,232,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,131,visible,19.823,277.5,7.125,232,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,132,visible,14.208,277.5,7.125,232,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,133,visible,8.593,277.5,7.125,232,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,134,visible,2.978,277.5,7.125,232,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,135,visible,2.5,277.5,7.125,232,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,136,visible,2.5,277.5,7.125,232,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,137,visible,2.5,277.5,7.125,232,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
