pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-6248-f8ae2066-3ada-4234-a77d-447bf26bce70,facing-6248-f8ae2066-3ada-4234-a77d-447bf26bce70,copying-6248-f8ae2066-3ada-4234-a77d-447bf26bce70,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,95,visible,179.312,74.286,2.125,122,0.85,0.04,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,96,visible,180.46900000000002,76.068,2.125,147,0.83,0.04,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,97,visible,181.62599999999998,77.85,2.125,147,0.87,0.05,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,98,visible,182.283,79.87100000000001,2.125,162,0.9,0.05,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,99,visible,181.487,81.84100000000001,2.125,202,0.9,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,100,visible,180.69099999999997,83.811,2.125,202,0.88,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,101,visible,179.895,85.781,2.125,202,0.88,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,102,visible,179.09900000000002,87.751,2.125,202,0.84,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,103,visible,178.303,89.721,2.125,202,0.8,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,104,visible,177.507,91.691,2.125,202,0.8200000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,105,visible,176.71099999999998,93.661,2.125,202,0.77,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,106,visible,175.915,95.631,2.125,202,0.78,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,107,visible,175.11900000000003,97.601,2.125,202,0.77,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,108,visible,174.32299999999998,99.571,2.125,202,0.8200000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,109,visible,173.52700000000002,101.541,2.125,202,0.8200000000000001,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,110,visible,172.731,103.51100000000001,2.125,202,0.87,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,111,visible,171.935,105.48100000000001,2.125,202,0.95,0.05,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,112,visible,171.139,107.45100000000001,2.125,202,0.98,0.05,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,113,visible,170.343,109.421,2.125,202,0.99,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,114,visible,169.547,111.391,2.125,202,1.0,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,115,visible,168.75099999999998,113.361,2.125,202,0.96,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,116,visible,168.49200000000002,115.47,2.125,187,0.96,0.05,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
6248-f8ae2066-3ada-4234-a77d-447bf26bce70,117,visible,168.97,117.541,2.125,167,0.96,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
