pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,facing-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,copying-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,88,visible,254.562,166.13299999999998,2.125,176,0.96,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,89,visible,254.71,168.253,2.125,176,1.0,0.03,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,90,visible,254.858,170.373,2.125,176,1.0,0.03,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,91,visible,255.00599999999997,172.493,2.125,176,1.0,0.03,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,92,visible,255.15400000000002,174.613,2.125,176,1.0,0.03,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,93,visible,255.30200000000002,176.733,2.125,176,1.0,0.03,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,94,visible,255.45,178.85299999999998,2.125,176,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,95,visible,255.59799999999998,180.97299999999998,2.125,176,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,96,visible,255.74599999999998,183.093,2.125,176,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,97,visible,255.894,185.213,2.125,176,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,98,visible,256.04200000000003,187.333,2.125,176,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,99,visible,256.19,189.453,2.125,176,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,100,visible,255.25799999999998,191.363,2.125,206,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,101,visible,254.326,193.273,2.125,206,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,102,visible,253.394,195.183,2.125,206,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,103,visible,252.46200000000002,197.093,2.125,206,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,104,visible,251.53,199.003,2.125,206,1.0,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,105,visible,250.59799999999998,200.91299999999998,2.125,206,1.0,0.04,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,106,visible,249.06900000000002,202.389,2.125,226,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,107,visible,246.97,202.72099999999998,2.125,261,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,108,visible,244.986,201.959,2.125,291,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
