pid,tick,latency
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,71,76.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,72,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,72,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,72,49
6598-d0c90d01-a279-4cce-8851-10c07513efe2,73,27.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,73,31.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,73,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,74,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,74,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,74,46.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,75,27
6598-d0c90d01-a279-4cce-8851-10c07513efe2,75,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,75,51
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,76,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,76,28
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,76,49.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,77,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,77,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,77,52
6598-d0c90d01-a279-4cce-8851-10c07513efe2,78,26
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,78,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,78,45
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,79,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,79,28
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,79,47.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,80,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,80,25.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,80,45
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,81,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,81,29.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,81,45
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,82,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,82,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,82,50.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,83,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,83,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,83,45
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,84,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,84,29
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,84,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,85,25
6598-d0c90d01-a279-4cce-8851-10c07513efe2,85,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,85,45
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,86,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,86,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,86,46.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,87,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,87,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,87,46
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,88,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,88,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,88,44.5
